gene_id,GSM9000017,GSM9000018,GSM9000019,GSM9000020,GSM9000021,GSM9000022
Gm10020,6.2296,6.0722,6.2812,6.2355,6.3729,6.1421
Gm10021,3.8634,4.0238,3.8995,3.9675,4.1149,4.1223
Gm10022,7.3942,7.617,8.2012,7.8214,8.0251,7.4635
Gm10023,6.6691,6.4344,6.0213,6.5571,6.5065,6.3416
Gm10024,2.8271,2.8694,2.3788,2.6894,2.8866,2.6472
Gm10025,4.6207,4.8407,4.6608,4.6918,4.3929,4.8518
Gm10026,5.6616,5.8726,6.0222,5.5608,6.0566,5.8083
Gm10027,5.401,5.3919,5.2023,4.8988,5.0533,5.1203
Gm10028,5.9822,5.7189,5.7446,5.4814,5.9491,5.4027
Gm10029,3.8589,3.7739,3.9724,3.976,3.6904,3.8292
Gm10030,3.984,4.3875,3.931,4.186,3.7867,3.9376
Gm10031,6.7301,6.6914,6.6499,6.2617,6.5013,6.3899
Gm10032,8.4179,8.0177,7.7193,8.0502,7.9503,7.3221
Gm10033,4.2542,4.2072,4.6507,4.6551,4.2022,4.3482
Gm10034,3.3719,2.9453,3.3884,2.9008,3.0006,3.0754
Gm10035,6.1635,5.9499,5.8569,5.7281,5.6577,5.9553
Gm10036,6.7544,6.3157,6.9419,6.3081,6.9361,6.2423
Gm10037,7.013,7.3556,6.7555,6.7972,7.621,7.3103
Gm10038,5.8648,6.2282,5.9452,5.6591,5.7388,6.1148
Gm10039,7.5878,6.9666,6.9881,7.5313,7.4752,7.0508
Gm10040,6.0048,6.076,6.2629,6.235,6.2846,6.0145
Gm10041,4.121,3.8386,3.7026,4.2339,4.0617,4.0714
Gm10042,4.6725,4.67,4.1029,4.5888,4.9115,4.9177
Gm10043,8.3793,8.3988,8.4645,8.4474,8.7192,8.2072
Gm10044,5.7524,6.0809,5.9238,5.8836,5.6222,5.5382
Gm10045,6.7191,6.1759,6.2933,6.6934,6.4424,7.0571
Gm10046,6.5253,6.1831,6.45,6.8496,6.2693,6.8496
Gm10047,4.7856,4.5913,4.9628,4.8254,4.7144,4.3677
Gm10048,5.5322,5.3168,4.9342,4.7556,4.5698,5.2083
Gm10049,5.0306,4.8629,5.1545,4.9253,5.115,5.1687
Gm10050,9.5742,9.1726,9.4398,9.0128,9.2181,8.8215
Gm10051,11.1291,10.8477,10.7606,11.0621,11.091,10.7492
Gm10052,8.2313,8.1628,8.0222,8.4367,8.6018,8.6277
Gm10053,5.7337,5.4809,5.5104,5.8049,5.8651,5.2177
Gm10054,5.2036,5.5395,5.3922,5.7141,6.32,5.6743
Gm10055,3.6857,3.8417,3.6898,3.7568,3.863,3.3414
Gm10056,8.039,7.628,8.1021,8.3569,8.2273,7.9068
Gm10057,6.1572,5.4379,5.6687,5.5352,5.594,5.556
Gm10058,5.4311,5.4811,5.5271,5.5965,5.1816,5.5419
Gm10059,8.7523,8.3007,8.5496,8.5471,8.7138,8.04
Gm10060,5.9081,5.0835,6.1872,5.9967,5.7704,5.6045
Gm10061,6.3287,6.0378,6.2616,6.1652,6.245,6.5441
Gm10062,5.9274,5.8633,5.6993,6.0592,6.1824,5.744
Gm10063,4.781,4.9142,4.8615,5.1509,4.889,4.7626
Gm10064,5.3453,5.5784,5.0138,5.0432,5.4312,5.8125
Gm10065,8.3805,7.5297,7.7488,7.6467,7.7693,7.5629
Gm10066,2.992,3.1962,2.8983,3.0778,2.7915,2.7567
Gm10067,6.4915,6.0099,6.3628,6.1406,5.8982,6.2543
Gm10068,4.6598,3.9617,4.7078,4.5086,4.5753,4.3963
Gm10069,4.9671,4.6116,4.7796,4.782,4.5991,4.1756
Gm10070,8.7713,9.0441,9.01,8.5383,8.6894,8.9397
Gm10071,4.6804,5.0352,4.8559,4.8648,4.8811,4.6711
Gm10072,10.5283,10.0616,10.5476,10.4017,10.4758,10.2897
Gm10073,6.8029,6.9817,6.665,6.2406,6.9218,7.0741
Gm10074,10.9066,10.6427,11.0102,10.6443,11.1223,10.9823
Gm10075,6.3507,6.4334,6.5051,6.5473,6.2949,6.6929
Gm10076,7.5105,7.5876,7.7451,8.0772,7.8484,8.2552
Gm10077,3.8386,3.9044,3.7887,3.6714,3.8174,4.0579
Gm10078,6.2449,6.7496,6.3606,6.2326,6.5295,6.4753
Gm10079,3.2881,3.587,3.5934,3.5525,4.269,3.9135
Gm10080,5.4795,6.38,5.7008,6.1663,5.8741,5.9967
Gm10081,4.444,4.9826,4.8117,4.7331,4.7755,4.5912
Gm10082,6.5114,7.1799,6.4502,6.6821,6.5149,6.4508
Gm10083,7.6841,7.9464,7.6465,7.7905,8.2022,8.0906
Gm10084,8.5392,8.7123,9.0553,8.8381,9.6307,8.2788
Gm10085,7.3597,7.5654,7.1669,7.1928,7.8435,8.0228
Gm10086,7.33,6.8386,6.5876,7.0542,6.4807,6.9811
Gm10087,9.787,9.7998,10.1081,10.1651,10.3982,9.6242
Gm10088,5.9956,6.3108,6.2414,6.3306,6.18,6.0997
Gm10089,6.5265,6.7314,6.1428,6.2863,6.1568,6.5781
Gm10090,6.3645,6.1492,6.3822,6.6538,6.318,6.6106
Gm10091,4.3386,4.3959,4.2525,4.1316,4.2555,3.9575
Gm10092,8.5492,8.63,8.3927,8.4524,8.2222,8.486
Gm10093,5.8129,5.8227,5.879,5.3858,6.1156,5.7386
Gm10094,11.0144,10.9482,10.8019,11.1749,10.218,11.2505
Gm10095,7.0025,7.0177,6.6642,7.3041,6.573,7.2606
Gm10096,7.8378,7.3027,7.6572,7.6607,7.7561,7.4668
Gm10097,3.6662,3.8914,3.8188,3.7533,4.093,3.5558
Gm10098,4.9562,5.0037,5.0579,5.2567,5.1812,5.3454
Gm10099,4.8024,5.0143,5.0754,4.8991,4.7891,5.0477
Gm10100,6.7632,6.6977,6.5842,6.8287,6.664,6.5362
Gm10101,6.0607,6.162,6.7403,5.4929,6.1999,5.803
Gm10102,5.7395,6.0473,6.2258,6.4902,6.2878,5.7997
Gm10103,4.4433,4.1737,4.2136,4.1047,4.0632,4.0705
Gm10104,9.3299,9.4443,9.1742,9.0919,9.4998,9.2492
Gm10105,8.7087,9.0479,8.1456,8.4434,8.0882,8.3145
Gm10106,5.1626,5.3934,5.4062,5.4152,5.2964,5.2426
Gm10107,10.7857,10.6371,10.5998,11.0644,11.3187,11.2538
Gm10108,11.1464,10.6774,10.9716,10.9134,11.2506,11.208
Gm10109,5.5426,5.5775,5.3262,5.7531,5.4311,5.5144
Gm10110,4.6965,4.6388,4.8426,4.6143,4.5273,4.7342
Gm10111,4.9159,4.8071,4.9704,5.1407,4.7967,5.0847
Gm10112,4.8769,5.0846,5.1842,5.0534,5.2503,5.0825
Gm10113,6.2152,5.8291,6.7365,6.3524,6.4463,7.02
Gm10114,6.8089,6.9749,6.9592,6.6265,6.9034,7.0282
Gm10115,5.6816,5.3746,5.6519,5.4884,5.5371,6.2827
Gm10116,3.1001,3.1773,2.7611,3.3607,3.0777,2.9601
Gm10117,6.4916,6.2318,6.2129,6.4287,5.973,6.3985
Gm10118,9.2235,8.5376,8.7612,8.9438,9.3279,8.8105
Gm10119,5.4109,5.3365,5.1217,5.2187,4.793,4.904
Gm10120,4.628,4.5847,3.9665,4.6921,4.881,4.673
Gm10121,3.1662,3.6862,3.3724,3.8845,3.3707,3.121
Gm10122,3.8525,3.7335,3.6812,4.1314,3.5652,3.9639
Gm10123,3.4017,3.5017,3.5969,3.4691,3.6972,3.8296
Gm10124,6.8789,6.2579,6.566,6.2927,7.2849,6.809
Gm10125,6.8572,6.4723,6.2079,6.7241,6.6384,6.111
Gm10126,4.5455,4.153,4.5195,4.4829,4.5782,4.5687
Gm10127,3.266,3.3885,3.0126,2.8047,3.5077,3.5908
Gm10128,3.1314,4.0383,4.1334,4.274,4.147,4.0126
Gm10129,4.3724,5.1658,4.5978,4.9523,5.3465,5.3175
Gm10130,6.5757,6.9713,5.9996,6.466,6.4474,6.6351
Gm10131,6.8519,7.0466,7.0857,7.3881,7.3015,7.141
Gm10132,6.0645,5.7321,5.5373,6.1106,5.8293,5.726
Gm10133,3.0386,3.158,3.1387,3.0066,2.8526,2.8153
Gm10134,9.1003,9.2963,9.0361,9.1992,9.3232,9.444
Gm10135,7.1206,7.0656,7.2696,6.8851,7.0695,7.2622
Gm10136,3.0196,2.9517,2.8706,3.1437,3.2593,2.9132
Gm10137,8.6299,8.2879,8.2188,8.093,7.9145,8.5354
Gm10138,7.3321,6.8873,7.4076,7.274,7.1357,7.5079
Gm10139,6.7254,6.6913,7.0928,6.855,6.5046,6.6037
Gm10140,6.8081,6.5512,7.1116,6.6533,6.5089,6.8476
Gm10141,3.8393,4.0213,4.2441,4.2801,4.3368,4.1654
Gm10142,5.9369,5.9996,5.667,5.9952,6.3719,5.7376
Gm10143,10.42,10.6201,10.5678,10.2088,10.1902,10.2606
Gm10144,6.9911,6.7766,7.3165,6.3211,7.1788,6.9483
Gm10145,4.984,4.8334,4.7308,5.2787,4.874,4.8494
Gm10146,7.4965,7.8512,6.8619,6.9422,7.8006,7.7572
Gm10147,4.8705,5.1293,4.9329,4.9414,4.9973,5.0139
Gm10148,3.339,3.2168,4.3146,3.3509,3.5074,3.6041
Gm10149,7.3313,7.1928,7.3998,7.4315,7.5496,7.5871
Gm10150,3.5129,3.5306,4.0661,3.8254,3.794,3.4865
Gm10151,6.2664,5.8426,5.6764,6.2246,5.7513,6.0342
Gm10152,8.7216,8.7676,8.4582,8.4896,8.4864,8.2723
Gm10153,6.468,6.5172,6.0535,6.1119,6.5676,6.0041
Gm10154,6.9732,6.912,6.9754,6.7714,7.0493,7.01
Gm10155,5.2293,5.1769,5.5514,5.3203,5.5297,5.2276
Gm10156,4.1542,3.9525,3.8703,3.9657,3.6706,4.2438
Gm10157,7.5188,7.6153,7.3614,7.6166,7.2655,7.9247
Gm10158,2.6322,3.0155,2.8019,2.8872,2.8236,2.8968
Gm10159,4.6271,4.9537,4.2942,5.0142,4.8378,4.6602
Gm10160,5.6914,5.6844,5.7397,6.1705,5.7733,5.6449
Gm10161,3.3874,3.5958,3.7297,3.7423,3.5192,4.0698
Gm10162,6.8513,7.2561,7.2553,6.9427,7.1955,7.029
Gm10163,6.413,6.5417,6.2369,6.4015,6.5217,6.3806
Gm10164,4.8436,4.7111,4.5618,4.2884,4.671,4.714
Gm10165,5.7092,6.0315,5.7049,5.6343,6.0307,5.7467
Gm10166,6.8249,7.1571,7.1503,6.9818,6.8692,7.2194
Gm10167,6.3783,5.9786,5.9967,6.5746,5.8414,6.3678
Gm10168,11.0673,10.8391,11.1402,10.8205,11.3202,11.004
Gm10169,5.9557,6.2743,6.1828,5.6684,6.3935,5.623
Gm10170,7.0392,6.6111,7.005,6.8625,6.639,6.8308
Gm10171,10.6918,10.275,10.4727,10.4665,10.1934,10.087
Gm10172,8.2471,8.4844,7.9168,8.3718,7.6196,7.69
Gm10173,7.186,7.3089,6.8364,6.9948,7.5046,7.3896
Gm10174,4.5548,4.4038,5.3972,4.3725,4.3271,4.332
Gm10175,4.6737,4.4197,4.6142,4.7731,4.1757,4.4805
Gm10176,4.6105,5.2858,4.6493,4.9565,5.1087,5.2579
Gm10177,7.1975,7.1073,6.8703,6.9945,6.9117,7.2617
Gm10178,6.5139,7.1526,6.699,7.0541,7.0099,6.8603
Gm10179,3.001,2.6887,3.4597,2.8865,2.592,2.4947
Gm10180,5.5692,5.4284,5.0725,5.7277,5.2666,4.9243
Gm10181,7.6991,7.6396,7.7844,7.5929,7.9201,8.0487
Gm10182,8.0943,8.0919,7.7802,8.6758,8.2511,7.9327
Gm10183,5.2601,5.049,5.404,5.1959,4.9604,4.786
Gm10184,4.4935,4.7579,4.8978,4.6371,4.988,4.9938
Gm10185,8.7157,8.398,8.561,8.1648,8.3903,8.0802
Gm10186,5.9132,5.8722,5.8943,5.5116,6.0773,5.5543
Gm10187,6.318,6.3238,6.175,6.2409,6.3202,6.2775
Gm10188,4.5257,4.2293,4.1296,4.4008,4.5709,4.3037
Gm10189,5.5505,4.623,5.2817,4.5794,4.8932,4.9459
Gm10190,7.4072,7.5515,7.3965,8.141,7.5462,7.2102
Gm10191,8.2446,8.0556,8.409,8.4497,8.8333,9.0305
Gm10192,4.3169,4.2927,4.133,4.0066,4.332,4.2773
Gm10193,3.6058,3.4696,3.5222,3.6882,3.469,3.01
Gm10194,12.2852,11.6025,12.0352,12.1516,12.2918,11.9362
Gm10195,7.8585,7.8577,7.754,8.0726,8.3408,7.8318
Gm10196,4.9091,5.4107,4.575,4.6,4.9631,4.6086
Gm10197,3.3165,2.8494,3.3043,3.2842,2.9254,2.8164
Gm10198,4.2398,4.1711,4.1446,3.9832,4.1993,4.0495
Gm10199,7.7264,7.4169,7.6631,7.2802,7.895,7.547
Gm10200,5.2183,5.2887,5.1361,5.2789,5.1862,5.0817
Gm10201,7.9747,7.2848,6.9128,7.7505,7.8743,7.542
Gm10202,7.829,7.559,7.4548,7.4969,7.5045,7.2506
Gm10203,5.1055,4.8072,5.2166,5.2885,5.1478,5.0178
Gm10204,8.4681,8.0184,8.1743,8.3458,8.283,7.9701
Gm10205,3.7835,3.6596,3.8126,3.8667,3.8588,4.1281
Gm10206,4.0736,3.9489,4.123,3.7816,4.093,4.2322
Gm10207,3.6823,3.3461,3.4929,3.3684,3.7933,3.606
Gm10208,5.5582,5.0406,5.6251,5.5986,5.2922,5.8076
Gm10209,7.5322,6.7761,7.2836,7.2982,6.9729,7.1377
Gm10210,8.5642,9.022,8.7066,8.8203,8.8774,8.7168
Gm10211,10.7363,11.0476,10.8525,10.8816,11.2521,10.8226
Gm10212,10.5078,10.5038,10.6049,10.5223,10.7904,10.338
Gm10213,3.5062,4.323,4.2785,3.3335,3.7121,3.6165
Gm10214,5.3169,5.0585,5.0139,5.2597,4.7908,5.1017
Gm10215,6.8179,7.2731,7.2541,6.9497,6.8473,7.3767
Gm10216,6.3828,7.2627,6.6273,7.1612,7.1803,7.198
Gm10217,8.6452,8.65,8.0653,8.1703,8.6227,8.1475
Gm10218,6.2162,6.0212,6.223,6.039,6.3499,6.4432
Gm10219,5.6795,6.2481,5.7176,5.9931,6.0218,6.3304
Gm10220,7.569,7.6067,7.9352,7.3996,7.7403,7.852
Gm10221,5.683,5.9249,5.9347,5.6361,5.8664,5.9382
Gm10222,12.7039,13.1352,12.4404,13.0821,12.4163,12.3235
Gm10223,9.7978,9.2518,9.634,9.2346,9.331,9.5939
Gm10224,6.9608,6.8521,6.8203,7.0937,6.6636,7.0924
Gm10225,4.4954,4.8848,3.998,4.0998,4.298,4.1746
Gm10226,5.5239,5.5955,5.9178,5.2375,5.6101,5.7596
Gm10227,5.191,4.9557,4.6076,4.84,5.0614,5.1528
Gm10228,9.0878,8.6041,8.8924,9.0188,8.7882,9.0415
Gm10229,4.0222,4.2048,4.1453,3.6577,4.3064,4.0512
Gm10230,7.2389,7.0071,6.7402,6.8708,6.7633,7.147
Gm10231,14.2274,13.7756,13.936,13.8973,14.026,13.3981
Gm10232,4.843,5.426,5.4238,5.1766,5.2974,4.8689
Gm10233,8.7501,8.9113,8.7655,9.2777,8.5724,8.8583
Gm10234,6.2201,6.1956,6.2215,6.0053,5.9048,6.1204
Gm10235,3.1372,3.0869,3.9702,3.6713,3.0708,3.3206
Gm10236,9.7331,9.8597,9.5345,9.1297,10.2866,9.8402
Gm10237,3.7071,3.8429,4.1202,3.7961,3.8104,3.6783
Gm10238,7.0185,7.6473,7.3018,7.7086,7.5681,7.3447
Gm10239,6.5611,6.2495,6.1171,7.1243,6.102,6.3964
Gm10240,5.0002,5.2591,5.3379,5.1765,5.3105,5.1758
Gm10241,4.0821,4.5951,4.152,4.8027,4.3342,4.4348
Gm10242,7.7365,7.3721,8.1701,7.9793,8.2653,7.8237
Gm10243,6.6747,6.4284,6.9381,7.1258,6.7688,7.0688
Gm10244,5.4007,4.5063,5.1158,4.8379,5.0566,5.1429
Gm10245,4.6645,4.3779,4.2691,4.9638,4.6034,5.0127
Gm10246,5.1601,5.3998,5.9081,5.4917,5.3965,5.9322
Gm10247,3.6436,3.7321,3.9237,3.7952,3.8852,3.8414
Gm10248,6.3383,6.6239,6.0755,6.1798,5.7032,6.0969
Gm10249,6.8047,7.3664,7.3781,7.2126,6.8526,7.1256
Gm10250,9.3374,9.7379,9.8228,9.7963,9.4376,9.6376
Gm10251,2.9439,2.9159,3.0624,3.2003,3.3044,3.3456
Gm10252,6.8582,6.0819,6.4101,6.6426,6.3054,6.6929
Gm10253,7.5183,7.5774,7.4139,7.6924,7.4224,7.2125
Gm10254,5.2837,4.8293,4.7037,4.5533,5.0891,4.9254
Gm10255,5.4001,5.5709,5.6112,5.7562,5.4589,5.9181
Gm10256,4.3321,3.9534,4.1145,4.0318,3.5165,4.1699
Gm10257,8.8348,8.8735,8.6279,8.9448,9.2919,8.6668
Gm10258,5.5444,5.6826,5.7579,5.6489,5.7469,5.5985
Gm10259,6.8109,7.0557,6.5195,6.6242,6.9764,6.7163
Gm10260,7.6747,7.4476,6.969,7.5783,7.7366,7.5607
Gm10261,4.1363,3.8024,4.5331,4.0917,4.4099,3.7422
Gm10262,7.1891,7.1293,6.9753,7.0627,7.183,7.0506
Gm10263,3.7068,3.6327,4.7075,4.2375,4.5917,4.4143
Gm10264,5.8847,5.2615,5.9899,5.6976,6.2614,5.6257
Gm10265,8.0539,8.4127,8.035,7.9725,7.6643,8.1067
Gm10266,5.3404,5.5707,5.4293,5.5009,6.0387,5.9484
Gm10267,6.7215,6.592,6.5801,5.9509,6.1614,6.3499
Gm10268,6.8272,6.6329,6.2523,6.9914,6.968,6.4265
Gm10269,8.8114,8.4292,8.9602,8.5352,8.7841,8.3383
Gm10270,5.518,5.7991,5.7826,6.0929,5.7088,6.2923
Gm10271,5.4042,5.5349,5.466,4.9386,5.6185,5.5848
Gm10272,9.3468,9.3683,8.8235,9.08,8.9151,8.9369
Gm10273,4.615,4.4518,4.5375,4.1749,4.324,4.2302
Gm10274,4.5043,3.8364,4.209,4.5065,4.2241,3.9171
Gm10275,4.6798,4.3778,4.9875,4.6133,4.4135,4.9969
Gm10276,7.5993,7.4104,7.9434,7.3485,7.8857,7.4823
Gm10277,7.0402,7.3765,7.379,7.4597,7.3011,6.8884
Gm10278,6.0971,6.1964,5.9365,5.9548,6.1431,5.9379
Gm10279,5.0997,5.4829,5.0964,5.0308,5.1284,5.1902
Gm10280,9.0494,8.7545,8.285,8.379,8.9493,8.4466
Gm10281,4.4054,4.1318,4.1686,4.6002,4.5107,4.4154
Gm10282,7.2121,7.2227,7.2127,7.1644,7.3912,6.7501
Gm10283,10.3139,9.4781,9.8551,9.5614,9.9904,9.8109
Gm10284,5.1499,4.3608,4.4657,4.7841,4.7639,4.9468
Gm10285,2.8249,2.692,3.2632,2.864,2.9398,3.0964
Gm10286,4.8525,4.847,4.9464,4.7944,4.7905,5.5135
Gm10287,4.5354,4.5597,4.0147,4.574,4.7476,3.7795
Gm10288,5.4971,5.4259,5.2816,5.1422,4.6821,5.1139
Gm10289,6.9176,7.1815,6.9202,6.8449,6.6997,7.0316
Gm10290,5.2585,4.7524,5.3239,5.0387,4.4365,5.4791
Gm10291,3.1659,3.6511,3.6668,3.9269,3.4172,3.4703
Gm10292,11.5368,11.7766,11.4019,11.7158,11.7937,11.5848
Gm10293,3.756,3.4421,3.9219,3.817,4.089,3.7201
Gm10294,4.885,4.8692,4.5547,4.8702,4.7478,5.1172
Gm10295,3.2091,2.9395,3.2181,3.0398,3.1596,2.7152
Gm10296,7.6559,7.9682,7.9669,7.5967,7.3895,8.192
Gm10297,6.4548,6.7093,6.4427,6.7993,6.5601,6.5875
Gm10298,3.5109,3.334,2.7368,2.9031,3.5141,2.693
Gm10299,6.5198,6.8259,7.151,6.5631,7.1244,6.5535
Gm10300,5.4841,5.4252,5.6581,4.9975,5.016,5.265
Gm10301,7.5714,7.4428,7.4491,7.7823,7.4203,7.3588
Gm10302,7.0727,7.5813,7.382,7.4085,7.5864,7.7148
Gm10303,3.3014,3.7091,3.5244,3.564,3.3652,3.8719
Gm10304,9.6096,9.6465,9.4677,9.8538,9.8417,9.7482
Gm10305,9.02,8.7098,8.8642,8.9138,8.6932,8.5904
Gm10306,8.3442,8.3689,7.9535,8.1641,8.2623,8.4337
Gm10307,4.2611,4.6312,4.887,4.8134,4.4118,4.7114
Gm10308,6.0101,6.5891,6.3567,6.1715,6.2406,6.3713
Gm10309,4.0188,3.945,4.4101,4.3117,4.2555,4.1596
Gm10310,4.9948,5.2013,4.8628,5.1446,4.9285,5.2647
Gm10311,5.6181,5.9065,6.0241,5.6667,5.8424,5.2106
Gm10312,7.3137,7.5557,7.4975,6.9179,7.4023,7.0744
Gm10313,3.693,3.9506,3.8837,3.6415,3.1501,3.9352
Gm10314,6.7153,6.1069,6.977,6.3601,6.1443,6.4217
Gm10315,5.0129,5.11,5.3771,4.8766,4.7673,4.8791
Gm10316,6.4033,6.9651,6.7023,6.692,6.3675,6.7294
Gm10317,6.9807,6.8968,7.135,7.5758,6.8438,7.0773
Gm10318,7.3447,7.1584,7.7153,8.059,7.6014,7.5747
Gm10319,4.3953,4.7349,5.0007,4.6219,4.5242,4.6409
Gm10320,6.1658,6.3845,5.9855,6.5479,6.4503,6.3075
Gm10321,7.4231,7.6554,7.417,7.4554,7.5067,7.3605
Gm10322,9.3131,9.0397,9.526,9.2079,9.7899,9.2229
Gm10323,3.5564,3.9199,3.4168,3.3295,3.4852,3.4812
Gm10324,5.0287,4.4271,4.7764,4.8641,4.964,4.9929
Gm10325,8.9106,7.8729,7.9032,8.2861,8.1509,8.3571
Gm10326,5.1201,4.8255,5.4663,5.1651,4.6859,5.1753
Gm10327,9.4509,9.4124,9.5758,9.5229,9.6674,9.2769
Gm10328,7.1718,6.8831,7.08,6.9034,6.8607,7.5086
Gm10329,3.4683,3.3728,3.8274,3.0356,3.4215,3.2583
Gm10330,2.922,2.937,2.8477,3.2742,3.1175,3.2393
Gm10331,7.988,7.7398,7.3787,7.8601,7.5222,7.8301
Gm10332,10.0174,10.3592,9.8372,9.8447,10.2364,9.7473
Gm10333,5.4088,5.2979,5.6405,5.6168,5.9277,5.6793
Gm10334,8.6281,8.5146,8.1819,8.1325,8.1353,8.5373
Gm10335,6.5612,7.2252,6.141,6.4824,6.8224,6.562
Gm10336,3.4901,3.6715,4.3736,3.9016,4.1232,3.4472
Gm10337,10.6846,11.0231,10.7249,10.3412,10.5658,10.5939
Gm10338,6.5265,6.7724,6.7038,6.4222,6.7278,6.9588
Gm10339,2.8749,3.0861,3.2158,3.3789,2.7664,3.2339
Gm10340,5.9243,5.2916,5.6642,5.4212,5.6937,5.2734
Gm10341,5.8324,5.9491,5.6029,5.7807,5.5039,5.9812
Gm10342,11.1802,11.1158,11.5606,10.9205,10.9502,10.8376
Gm10343,5.2474,5.1327,4.9145,5.4999,5.3822,5.2598
Gm10344,7.6213,7.7493,7.3796,7.0267,7.2539,7.3559
Gm10345,6.6801,7.1055,6.6939,6.4688,6.9646,7.0655
Gm10346,8.0166,8.8403,8.3089,8.0515,8.237,8.0631
Gm10347,6.3598,6.3517,6.4726,6.455,6.3835,6.5793
Gm10348,4.023,4.0542,3.9949,4.2803,4.0599,4.1722
Gm10349,10.6269,10.2138,10.1121,10.3539,10.5208,10.6922
Gm10350,6.2419,6.319,6.5129,6.4684,6.0463,6.2727
Gm10351,5.3125,5.5322,5.4409,5.0371,5.6386,5.0688
Gm10352,8.7584,8.6482,8.9142,8.6172,8.844,8.6021
Gm10353,7.3949,7.4169,7.1206,6.806,6.6271,7.2659
Gm10354,4.8965,5.3068,4.4793,4.8296,5.3588,5.0856
Gm10355,6.3971,5.8272,5.9941,6.1187,5.7322,6.0564
Gm10356,5.81,5.8713,6.6922,5.8411,6.3514,6.0525
Gm10357,7.7487,7.3396,7.7278,7.8632,7.8072,7.6274
Gm10358,6.702,6.7234,6.5733,6.2624,6.8375,6.7166
Gm10359,5.3096,5.033,4.9477,4.5664,5.0876,4.776
Gm10360,6.7021,7.1572,6.9903,6.9082,7.2815,6.8517
