gene_id,log2fc,pvalue,padj,base_mean
Gm10114,-0.2403,0.281775,0.84859,134.325
Gm10115,-0.1094,0.933385,0.981468,193.01
Gm10116,0.4917,0.163905,0.809878,793.948
Gm10117,-0.2536,0.274227,0.84859,180.31
Gm10118,-0.1713,0.460649,0.906469,270.275
Gm10119,0.0419,0.710888,0.946939,65.906
Gm10120,-0.0668,0.928521,0.981468,216.234
Gm10121,-0.0704,0.816102,0.973699,97.131
Gm10122,0.1392,0.429068,0.894396,81.826
Gm10123,0.0811,0.792129,0.961692,104.86
Gm10124,-0.4067,0.0997223,0.809878,942.782
Gm10125,-0.0065,0.896752,0.980775,67.572
Gm10126,-0.3315,0.0243092,0.553501,1786.576
Gm10127,-0.0925,0.717722,0.946939,5015.557
Gm10128,-0.2576,0.568313,0.906469,167.098
Gm10129,0.0222,0.986945,0.993281,1786.939
Gm10130,0.1288,0.554279,0.906469,2443.902
Gm10131,-0.1141,0.590095,0.906469,145.968
Gm10132,-0.1945,0.295453,0.860508,990.419
Gm10133,-0.1817,0.590073,0.906469,230.61
Gm10134,0.1421,0.883231,0.973699,67.434
Gm10135,0.5176,0.0816752,0.755496,785.41
Gm10136,-0.2806,0.316877,0.860508,77.827
Gm10137,-0.0965,0.61738,0.912762,852.836
Gm10138,0.2239,0.987595,0.993281,31.807
Gm10139,0.1334,0.762192,0.955225,387.446
Gm10140,0.0212,0.972967,0.990807,139.596
Gm10141,0.0938,0.85182,0.973699,51.065
Gm10142,-0.0431,0.945649,0.981468,179.681
Gm10143,-0.1642,0.550203,0.906469,260.788
Gm10144,-0.231,0.427738,0.894396,178.897
Gm10145,-0.6153,0.332543,0.860508,35.559
Gm10146,0.024,0.916658,0.981468,603.138
Gm10147,0.0098,0.919394,0.981468,300.382
Gm10148,-0.1076,0.696169,0.946939,753.08
Gm10149,0.0004,0.950136,0.981468,116.477
Gm10150,-0.0165,0.9855,0.993281,95.291
Gm10151,0.0722,0.842947,0.973699,7754.996
Gm10152,-0.224,0.571605,0.906469,796.526
Gm10153,-0.3318,0.628447,0.912762,223.976
Gm10154,-0.0007,0.916926,0.981468,309.309
Gm10155,-0.1107,0.661048,0.940005,318.025
Gm10156,-0.1029,0.531041,0.906469,734.878
Gm10157,0.1992,0.555452,0.906469,195.027
Gm10158,-0.1171,0.510239,0.906469,229.229
Gm10159,0.2872,0.128216,0.809878,1028.423
Gm10160,-0.2384,0.451936,0.906469,19.51
Gm10161,0.8094,0.155302,0.809878,71.11
Gm10162,-0.1329,0.772248,0.955225,321.336
Gm10163,0.7249,0.0266086,0.562581,33.492
Gm10164,0.4734,0.122972,0.809878,98.039
Gm10165,-0.0246,0.937756,0.981468,162.808
Gm10166,-0.0597,0.64929,0.930701,42.173
Gm10167,0.6206,0.334763,0.860508,92.098
Gm10168,0.2281,0.286133,0.84859,2752.481
Gm10169,0.0067,0.988247,0.993281,89.452
Gm10170,-0.7052,0.0668178,0.690752,271.903
Gm10171,-0.1406,0.284126,0.84859,326.215
Gm10172,0.0282,0.864839,0.973699,351.432
Gm10173,0.2824,0.267733,0.84859,704.851
Gm10174,-0.0291,0.886642,0.973699,53.134
Gm10175,0.3863,0.12048,0.809878,308.553
Gm10176,-0.4871,0.065151,0.690752,1353.161
Gm10177,-0.3983,0.27466,0.84859,176.72
Gm10178,-0.2775,0.551631,0.906469,239.034
Gm10179,0.3087,0.286118,0.84859,5592.281
Gm10180,-0.2029,0.329609,0.860508,689.982
Gm10181,-0.5914,0.0576529,0.690752,1517.471
Gm10182,0.0835,0.715536,0.946939,1624.887
Gm10183,-0.0962,0.827585,0.973699,252.991
Gm10184,-0.0036,0.998285,0.998285,2529.113
Gm10185,-0.3522,0.0566079,0.690752,2047.071
Gm10186,-0.5422,0.00594443,0.219944,581.556
Gm10187,-0.1171,0.683557,0.946939,103.639
Gm10188,0.1984,0.542502,0.906469,159.839
Gm10189,0.0051,0.804144,0.966298,2576.273
Gm10190,0.2712,0.381649,0.892319,6163.33
Gm10191,-0.0773,0.842861,0.973699,77.422
Gm10192,0.1099,0.729745,0.946939,318.002
Gm10193,-0.1349,0.888171,0.973699,21.115
Gm10194,-0.2199,0.362292,0.889946,1916.239
Gm10195,-0.2814,0.312819,0.860508,448.466
Gm10196,-0.3831,0.24861,0.84859,421.136
Gm10197,0.0461,0.945892,0.981468,161.259
Gm10198,-0.29,0.415154,0.892319,184.155
Gm10199,-0.3319,0.267124,0.84859,194.41
Gm10200,-0.1262,0.517823,0.906469,448.049
Gm10201,0.7542,0.24038,0.84859,71.229
Gm10202,-0.3057,0.355214,0.880065,227.007
Gm10203,-0.6775,0.0925122,0.809878,38.349
Gm10204,0.1915,0.897939,0.980775,40.004
Gm10205,0.1053,0.863705,0.973699,145.736
Gm10206,-0.3383,0.596114,0.906469,54.443
Gm10207,-0.1868,0.458104,0.906469,627.173
Gm10208,0.5846,0.208815,0.84859,48.469
Gm10209,0.3074,0.321642,0.860508,229.007
Gm10210,-0.1996,0.671797,0.944665,46.442
Gm10211,-0.1897,0.653292,0.933707,859.598
Gm10212,-0.2209,0.475341,0.906469,1318.91
Gm10213,0.4341,0.208761,0.84859,67.888
Gm10214,0.2999,0.434157,0.895544,180.351
Gm10215,-0.4072,0.433969,0.895544,50.446
Gm10216,-0.3518,0.205397,0.84859,125.203
Gm10217,-0.1414,0.590236,0.906469,202.678
Gm10218,0.0224,0.923983,0.981468,1110.39
Gm10219,0.1563,0.415284,0.892319,221.11
Gm10220,-0.0722,0.617331,0.912762,391.284
Gm10221,-0.139,0.49362,0.906469,1873.191
Gm10222,-0.1091,0.853494,0.973699,56.916
Gm10223,-0.0687,0.766713,0.955225,628.189
Gm10224,-0.2164,0.60023,0.906469,186.778
Gm10225,0.4702,0.102784,0.809878,343.229
Gm10226,-0.6367,0.0493438,0.690752,634.952
Gm10227,0.0419,0.969945,0.990013,144.295
Gm10228,-0.3021,0.31461,0.860508,957.33
Gm10229,0.3855,0.472619,0.906469,25.599
Gm10230,-0.4838,0.217678,0.84859,112.428
Gm10231,0.1343,0.573826,0.906469,536.888
Gm10232,-0.232,0.286686,0.84859,206.169
Gm10233,-0.5151,0.0739339,0.717522,580.256
Gm10234,0.2189,0.410312,0.892319,237.056
Gm10235,0.2614,0.406071,0.892319,110.028
Gm10236,-0.1956,0.499166,0.906469,675.319
Gm10237,-0.7408,0.062,0.690752,200.833
Gm10238,-0.3243,0.393927,0.892319,50.895
Gm10239,-0.0957,0.700287,0.946939,274.471
Gm10240,-0.0848,0.832957,0.973699,321.406
Gm10241,-0.0998,0.662132,0.940005,1358.858
Gm10242,-0.528,0.168489,0.810941,54.962
Gm10243,-0.3148,0.23201,0.84859,183.869
Gm10244,-0.0415,0.804705,0.966298,780.445
Gm10245,-0.0417,0.708303,0.946939,77.721
Gm10246,-0.4236,0.165405,0.809878,50.277
Gm10247,-0.0144,0.873801,0.973699,1126.281
Gm10248,-0.1405,0.729964,0.946939,3820.048
Gm10249,-0.5518,0.302226,0.860508,335.686
Gm10250,0.0953,0.629042,0.912762,721.899
Gm10251,-0.4821,0.168066,0.810941,120.041
Gm10252,-0.1648,0.55788,0.906469,1897.134
Gm10253,-0.2176,0.764142,0.955225,476.854
Gm10254,0.0717,0.916909,0.981468,1105.877
Gm10255,0.0845,0.618078,0.912762,115.286
Gm10256,-0.1627,0.242283,0.84859,1553.383
Gm10257,-0.1914,0.4009,0.892319,2117.215
Gm10258,0.0312,0.885549,0.973699,219.682
Gm10259,0.2447,0.593403,0.906469,29.539
Gm10260,0.2225,0.466502,0.906469,106.619
Gm10261,0.1205,0.566391,0.906469,184.634
Gm10262,0.0526,0.686862,0.946939,231.667
Gm10263,0.3011,0.389337,0.892319,50.034
Gm10264,-0.3042,0.239099,0.84859,1607.304
Gm10265,0.1422,0.769309,0.955225,118.973
Gm10266,-0.3395,0.153602,0.809878,1414.981
Gm10267,-0.0032,0.886786,0.973699,1156.854
Gm10268,-0.5692,0.19617,0.84859,40.801
Gm10269,-0.0262,0.956908,0.981468,159.751
Gm10270,0.1796,0.375082,0.892319,180.0
Gm10271,0.0931,0.786636,0.960183,1898.207
Gm10272,0.0338,0.905916,0.981468,6013.686
Gm10273,-0.4553,0.251305,0.84859,74.535
Gm10274,0.1956,0.490632,0.906469,820.84
Gm10275,0.0539,0.746127,0.953175,82.216
Gm10276,-0.3751,0.122252,0.809878,154.292
Gm10277,-0.279,0.432733,0.895544,700.124
Gm10278,-0.1943,0.483054,0.906469,300.799
Gm10279,-0.1737,0.318569,0.860508,1239.043
Gm10280,-0.3874,0.705647,0.946939,72.025
Gm10281,-0.4028,0.326863,0.860508,427.922
Gm10282,-0.4538,0.158631,0.809878,106.414
Gm10283,0.2684,0.503578,0.906469,312.493
Gm10284,-0.5483,0.584167,0.906469,23.449
Gm10285,0.525,0.175069,0.829125,144.311
Gm10286,0.104,0.727796,0.946939,274.585
Gm10287,-0.0083,0.840497,0.973699,382.107
Gm10288,0.0089,0.941435,0.981468,495.353
Gm10289,-0.2513,0.268322,0.84859,211.633
Gm10290,-0.6272,0.164233,0.809878,139.267
Gm10291,0.1764,0.613336,0.912762,28.601
Gm10292,-0.111,0.574092,0.906469,757.995
Gm10293,0.3838,0.30047,0.860508,60.768
Gm10294,-0.0691,0.721066,0.946939,1370.834
Gm10295,0.2115,0.461036,0.906469,2055.638
Gm10296,-0.098,0.832581,0.973699,129.248
Gm10297,0.1288,0.94675,0.981468,220.343
Gm10298,0.3039,0.532096,0.906469,221.933
Gm10299,0.1474,0.57611,0.906469,338.622
Gm10300,-0.0229,0.726915,0.946939,186.666
Gm10301,0.1227,0.630607,0.912762,550.781
Gm10302,-0.0468,0.739599,0.953049,1137.243
Gm10303,-0.5566,0.152736,0.809878,766.108
Gm10304,-0.3658,0.0332944,0.611042,413.099
Gm10305,0.1283,0.888026,0.973699,101.19
Gm10306,-0.735,0.0693197,0.690752,56.894
Gm10307,-0.6166,0.023911,0.553501,524.132
Gm10308,0.6106,0.0329878,0.611042,201.721
Gm10309,-0.0671,0.872846,0.973699,322.298
Gm10310,-0.5468,0.0700086,0.690752,62.756
Gm10311,-0.2914,0.376916,0.892319,63.6
Gm10312,0.408,0.161177,0.809878,66.109
Gm10313,0.151,0.522484,0.906469,133.634
Gm10314,-0.2576,0.280917,0.84859,1118.612
Gm10315,0.4803,0.09142,0.809878,4539.829
Gm10316,-0.039,0.776189,0.955225,104.921
Gm10317,0.5955,0.0635598,0.690752,36.245
Gm10318,-0.1106,0.66639,0.941534,127.13
Gm10319,0.7096,0.229968,0.84859,83.675
Gm10320,0.0784,0.931085,0.981468,289.701
Gm10321,-0.5097,0.153966,0.809878,864.44
Gm10322,-0.2894,0.307195,0.860508,424.764
Gm10323,-0.3894,0.0122949,0.383082,897.505
Gm10324,-0.0833,0.705783,0.946939,1021.955
Gm10325,-0.1438,0.260887,0.84859,124.895
Gm10326,0.1394,0.499463,0.906469,681.541
Gm10327,0.0735,0.794797,0.962208,134.794
Gm10328,-0.4526,0.0259073,0.562581,201.421
Gm10329,-0.1834,0.544024,0.906469,378.159
Gm10330,-0.738,0.0197542,0.531568,1826.932
Gm10331,0.2967,0.442497,0.903304,636.254
Gm10332,-0.053,0.777734,0.955225,670.576
Gm10333,0.0284,0.986002,0.993281,43025.887
Gm10334,0.1334,0.301598,0.860508,4430.432
Gm10335,-0.1085,0.742923,0.953067,1238.148
Gm10336,0.0154,0.915779,0.981468,157.505
Gm10337,-0.3334,0.209991,0.84859,578.884
Gm10338,0.2575,0.200241,0.84859,1064.883
Gm10339,-0.2558,0.346124,0.875664,216.714
Gm10340,-0.1645,0.255182,0.84859,393.915
Gm10341,0.2749,0.106114,0.809878,465.819
Gm10342,-0.3719,0.684452,0.946939,202.962
Gm10343,-0.2896,0.245489,0.84859,1650.721
Gm10344,-0.0811,0.679911,0.946939,486.954
Gm10345,-0.0819,0.900898,0.981468,2156.263
Gm10346,-0.5592,0.136867,0.809878,1149.352
Gm10347,0.2557,0.15709,0.809878,196.29
Gm10348,-0.1457,0.635268,0.915034,94.825
Gm10349,-0.0395,0.708384,0.946939,93.225
Gm10350,-0.3435,0.148136,0.809878,430.467
Gm10351,-0.181,0.478052,0.906469,633.523
Gm10352,-0.0729,0.806366,0.966333,966.068
Gm10353,0.3571,0.440477,0.902292,115.32
Gm10354,-0.1592,0.326518,0.860508,890.383
Gm10355,0.4221,0.129956,0.809878,147.63
Gm10356,-0.2596,0.284068,0.84859,471.224
Gm10357,0.2212,0.505269,0.906469,89.661
Gm10358,-0.2313,0.177516,0.834045,2149.744
Gm10359,-0.278,0.223496,0.84859,73.258
Gm10360,-0.4991,0.12142,0.809878,501.58
Gm10361,-0.0736,0.83361,0.973699,784.621
Gm10362,-0.0502,0.55646,0.906469,2337.131
Gm10363,-0.2758,0.298353,0.860508,17359.298
Gm10364,-1.0377,0.136608,0.809878,37.662
Gm10365,-0.1105,0.370681,0.892319,4588.11
Gm10366,0.0298,0.883542,0.973699,83.474
Gm10367,-0.4826,0.426111,0.894396,146.761
Gm10368,-0.0545,0.749387,0.953175,69.515
Gm10369,-0.1144,0.976909,0.99199,340.096
Gm10370,0.1541,0.523543,0.906469,112.91
Gm10371,1.0241,0.0652581,0.690752,54.871
Gm10372,-0.5992,0.0196637,0.531568,457.587
Gm10373,-0.0822,0.67627,0.946939,9209.142
Gm10374,0.1108,0.536812,0.906469,743.981
Gm10375,0.3631,0.232403,0.84859,152.387
Gm10376,-0.2141,0.773717,0.955225,25.963
Gm10377,-0.0065,0.996171,0.997857,352.125
Gm10378,-0.1944,0.603623,0.90697,3929.601
Gm10379,-0.2878,0.47876,0.906469,283.667
Gm10380,-0.0883,0.836466,0.973699,78.098
Gm10381,-0.3274,0.14582,0.809878,6363.044
Gm10382,-0.2279,0.522027,0.906469,1986.225
Gm10383,-0.373,0.138583,0.809878,439.806
Gm10384,-0.1363,0.47585,0.906469,1040.092
Gm10385,0.5682,0.279225,0.84859,103.513
Gm10386,-0.1977,0.594407,0.906469,55.775
Gm10387,-0.2648,0.398394,0.892319,158.156
Gm10388,-0.2658,0.214685,0.84859,1465.789
Gm10389,-0.6028,0.225717,0.84859,107.775
Gm10390,0.3473,0.18083,0.836259,630.555
Gm10391,-0.0415,0.958257,0.981468,2745.141
Gm10392,-0.1685,0.416014,0.892319,787.661
Gm10393,0.7968,0.0221264,0.553501,4810.501
Gm10394,0.0472,0.716406,0.946939,720.206
Gm10395,0.0417,0.798846,0.964403,681.687
Gm10396,0.2219,0.467735,0.906469,331.434
Gm10397,-0.8939,0.185898,0.845622,45.275
Gm10398,-0.3842,0.182225,0.836259,147.332
Gm10399,-0.6434,0.247435,0.84859,42.037
Gm10400,-0.3307,0.150248,0.809878,86.498
Gm10401,0.0094,0.855452,0.973699,38.087
Gm10402,-0.0217,0.847192,0.973699,628.956
Gm10403,-0.176,0.328606,0.860508,505.37
Gm10404,0.1713,0.572302,0.906469,29.252
Gm10405,-0.2852,0.238124,0.84859,2703.386
Gm10406,-0.2116,0.510001,0.906469,1463.681
Gm10407,-0.2694,0.190821,0.845622,489.204
Gm10408,-0.9443,0.00649585,0.226208,90.578
Gm10409,-0.2409,0.133604,0.809878,1349.209
Gm10410,-0.1617,0.477385,0.906469,2702.809
Gm10411,-0.7326,0.0641042,0.690752,102.259
Gm10412,0.0704,0.732598,0.946939,617.265
Gm10413,-0.0914,0.619248,0.912762,5742.386
Gm10414,0.1407,0.549512,0.906469,978.104
Gm10415,-0.3987,0.143158,0.809878,651.087
Gm10416,-0.125,0.634449,0.915034,297.499
Gm10417,-0.0946,0.375992,0.892319,131.251
Gm10418,-0.4924,0.0340614,0.611042,834.519
Gm10419,0.0993,0.555945,0.906469,12021.752
Gm10420,0.0661,0.923994,0.981468,167.228
Gm10421,0.4244,0.276521,0.84859,115.26
Gm10422,-0.1234,0.785914,0.960183,47.091
Gm10423,-0.1825,0.923633,0.981468,133.963
Gm10424,-0.4801,0.285731,0.84859,210.459
Gm10425,0.1402,0.471431,0.906469,1375.817
Gm10426,-0.2486,0.335163,0.860508,170.0
Gm10427,0.2223,0.218161,0.84859,8051.545
Gm10428,-0.2745,0.980425,0.993281,29.411
Gm10429,-0.0848,0.578161,0.906469,346.031
Gm10430,-0.3568,0.261365,0.84859,118.055
Gm10431,-0.5587,0.105106,0.809878,39.134
Gm10432,-0.34,0.283829,0.84859,2040.624
Gm10433,0.041,0.743779,0.953067,164.765
Gm10434,-0.1254,0.840493,0.973699,158.509
Gm10435,0.0847,0.688346,0.946939,114.198
Gm10436,-0.3593,0.179377,0.836149,4764.017
Gm10437,-0.0695,0.654541,0.933707,6018.671
Gm10438,0.4152,0.12047,0.809878,126.199
Gm10439,-0.1382,0.719006,0.946939,138.36
Gm10440,0.1843,0.59971,0.906469,189.818
Gm10441,-0.4053,0.292077,0.860246,176.136
Gm10442,0.4604,0.144546,0.809878,82.903
Gm10443,-0.3601,0.399925,0.892319,47.736
Gm10444,-0.4054,0.224266,0.84859,96.16
Gm10445,0.2592,0.333831,0.860508,115.354
Gm10446,0.1739,0.862817,0.973699,109.061
Gm10447,-0.3953,0.0476319,0.690752,342.644
Gm10448,0.1498,0.869506,0.973699,206.312
Gm10449,-0.2057,0.402793,0.892319,377.196
Gm10450,-0.0884,0.770472,0.955225,528.596
Gm10451,0.4244,0.325861,0.860508,66.488
Gm10452,0.3234,0.355296,0.880065,260.031
Gm10453,-0.2235,0.392864,0.892319,147.245
Gm10454,0.0261,0.942136,0.981468,84.93
Gm10455,0.1352,0.606866,0.90953,1578.616
Gm10456,-0.1361,0.603625,0.90697,107.015
Gm10457,0.2168,0.188781,0.845622,76.486
Gm10458,0.0922,0.571435,0.906469,41.247
Gm10459,0.201,0.370376,0.892319,96.197
Gm10460,-0.1036,0.621436,0.912762,6039.973
Gm10461,-0.0735,0.624717,0.912762,1486.681
Gm10462,0.141,0.503002,0.906469,435.08
Gm10463,-0.0203,0.946704,0.981468,206.58
Gm10464,-0.6046,0.326004,0.860508,26.494
Gm10465,-0.5033,0.16435,0.809878,89.293
Gm10466,0.1082,0.77508,0.955225,221.92
Gm10467,-0.0331,0.728366,0.946939,80.769
Gm10468,-0.1887,0.317096,0.860508,25616.758
Gm10469,-0.3503,0.220218,0.84859,1163.02
Gm10470,0.002,0.955968,0.981468,1885.672
Gm10471,-0.4886,0.132715,0.809878,224.827
Gm10472,-0.1469,0.502583,0.906469,518.547
Gm10473,0.0865,0.820229,0.973699,1708.015
Gm10474,-0.2426,0.0535124,0.690752,1844.165
Gm10475,-0.3188,0.199261,0.84859,58.042
Gm10476,0.3827,0.253742,0.84859,411.658
Gm10477,-0.2775,0.595822,0.906469,65.447
Gm10478,-0.2312,0.265289,0.84859,147.995
Gm10479,0.1873,0.538335,0.906469,403.526
Gm10480,-0.1002,0.724028,0.946939,144.55
Gm10481,-0.2436,0.512777,0.906469,4124.479
Gm10482,-0.0483,0.694105,0.946939,79.051
Gm10483,0.0116,0.79023,0.961692,139.404
Gm10484,0.4917,0.0632063,0.690752,2143.372
Gm10485,-0.4572,0.335338,0.860508,34.839
Gm10486,-0.2402,0.272371,0.84859,450.214
Gm10487,-0.2275,0.539676,0.906469,600.36
Gm10488,-0.0534,0.929993,0.981468,108.327
Gm10489,-0.3927,0.0417503,0.690752,2138.623
Gm10490,-0.028,0.750304,0.953175,217.299
Gm10491,-0.3791,0.156523,0.809878,6106.512
Gm10492,0.1227,0.5677,0.906469,3849.495
Gm10493,-0.3174,0.123995,0.809878,566.607
Gm10494,0.0392,0.922992,0.981468,928.394
Gm10495,-0.0863,0.844384,0.973699,165.813
Gm10496,0.1158,0.574871,0.906469,498.036
Gm10497,0.1358,0.395865,0.892319,1437.089
Gm10498,-0.1963,0.915264,0.981468,79.941
Gm10499,0.2687,0.0584494,0.690752,208.94
Gm10500,0.0594,0.951825,0.981468,1077.905
Gm10501,-0.524,0.120948,0.809878,44.822
Gm10502,-0.0465,0.711864,0.946939,129.554
Gm10503,0.2186,0.326614,0.860508,608.871
Gm10504,-0.1746,0.551184,0.906469,95.112
Gm10505,-0.3644,0.113193,0.809878,867.683
